"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població_16_64_anys","Pes_atur"
2018,3,9,"Sant Andreu",60,"Sant Andreu",36671,7.7
2018,3,9,"Sant Andreu",61,"la Sagrera",18483,7
2018,3,9,"Sant Andreu",62,"el Congrés i els Indians",9078,6.9
2018,3,9,"Sant Andreu",63,"Navas",14065,6.9
2018,3,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25043,7.6
2018,3,10,"Sant Martí",65,"el Clot",18027,7
2018,3,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10425,5.8
2018,3,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6470,6.3
2018,3,10,"Sant Martí",68,"el Poblenou",22694,6.1
2018,3,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8864,7.4
2018,3,10,"Sant Martí",70,"el Besòs i el Maresme",15685,9.6
2018,3,10,"Sant Martí",71,"Provençals del Poblenou",13932,7.2
2018,3,10,"Sant Martí",72,"Sant Martí de Provençals",16071,8.9
2018,3,10,"Sant Martí",73,"la Verneda i la Pau",17461,9.3
2018,4,1,"Ciutat Vella",1,"el Raval",35577,9.3
2018,4,1,"Ciutat Vella",2,"el Barri Gòtic",13388,6.6
2018,4,1,"Ciutat Vella",3,"la Barceloneta",10928,8.8
2018,4,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17084,7.7
2018,4,2,"Eixample",5,"el Fort Pienc",21304,5.8
2018,4,2,"Eixample",6,"la Sagrada Família",34381,5.7
2018,4,2,"Eixample",7,"la Dreta de l'Eixample",28960,4.3
2018,4,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",28563,5
2018,4,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38127,5.5
2018,4,2,"Eixample",10,"Sant Antoni",25468,6
2018,4,3,"Sants-Montjuïc",11,"el Poble Sec",28154,7.9
2018,4,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",784,14
2018,4,3,"Sants-Montjuïc",13,"la Marina de Port",20134,8.3
2018,4,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6837,8.2
2018,4,3,"Sants-Montjuïc",15,"Hostafrancs",10997,6.6
2018,4,3,"Sants-Montjuïc",16,"la Bordeta",12230,6.9
