"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població_16_64_anys","Pes_atur"
2016,1,1,"Ciutat Vella",1,"el Raval",35173,"11.3"
2016,1,1,"Ciutat Vella",2,"el Barri Gòtic",12088,"8.7"
2016,1,1,"Ciutat Vella",3,"la Barceloneta",10802,"11.3"
2016,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",16757,"10.1"
2016,1,2,"Eixample",5,"el Fort Pienc",20956,"7.1"
2016,1,2,"Eixample",6,"la Sagrada Família",34076,"7.3"
2016,1,2,"Eixample",7,"la Dreta de l'Eixample",28742,"5.8"
2016,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",27813,"6.5"
2016,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample",37901,"7.1"
2016,1,2,"Eixample",10,"Sant Antoni",25240,"7.6"
2016,1,3,"Sants-Montjuïc",11,"el Poble Sec",28202,"9.9"
2016,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",768,"19.7"
2016,1,3,"Sants-Montjuïc",13,"la Marina de Port",19856,"10.6"
2016,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6865,"10.3"
2016,1,3,"Sants-Montjuïc",15,"Hostafrancs",11001,"7.8"
2016,1,3,"Sants-Montjuïc",16,"la Bordeta",12084,"8.3"
2016,1,3,"Sants-Montjuïc",17,"Sants - Badal",15916,"7.1"
2016,1,3,"Sants-Montjuïc",18,"Sants",27169,"7.7"
2016,1,4,"Les Corts",19,"les Corts",28488,"7.5"
2016,1,4,"Les Corts",20,"la Maternitat i Sant Ramon",14728,"7.6"
2016,1,4,"Les Corts",21,"Pedralbes",6950,"3.7"
2016,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3002,"3.5"
2016,1,5,"Sarrià-Sant Gervasi",23,"Sarrià",14815,"3.7"
2016,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",9862,"4.1"
2016,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15679,"4.4"
2016,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29005,"4.4"
2016,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",18723,"6.3"
2016,1,6,"Gràcia",28,"Vallcarca i els Penitents",9644,"7.8"
2016,1,6,"Gràcia",29,"el Coll",4844,"6.5"
2016,1,6,"Gràcia",30,"la Salut",8181,"7.6"
2016,1,6,"Gràcia",31,"la Vila de Gràcia",34554,"7.1"
2016,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",21992,"7.3"
2016,1,7,"Horta-Guinardó",33,"el Baix Guinardó",16328,"7.6"
2016,1,7,"Horta-Guinardó",34,"Can Baró",5755,"7.7"
