Any,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Poblacio_16_64_anys,Pes_atur
2013,1,1,Ciutat Vella,1,el Raval,36241,13.3
2013,1,1,Ciutat Vella,2,el Barri Gòtic,12362,11
2013,1,1,Ciutat Vella,3,la Barceloneta,10792,14
2013,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16828,12.4
2013,1,2,Eixample,5,el Fort Pienc,21164,9.6
2013,1,2,Eixample,6,la Sagrada Família,34629,9.5
2013,1,2,Eixample,7,la Dreta de l'Eixample,28543,7.7
2013,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,27830,9.2
2013,1,2,Eixample,9,la Nova Esquerra de l'Eixample,38445,9.2
2013,1,2,Eixample,10,Sant Antoni,25279,10.3
2013,1,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,28691,12.6
2013,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,700,21
2013,1,3,Sants-Montjuïc,13,la Marina de Port,19673,12.4
2013,1,3,Sants-Montjuïc,14,la Font de la Guatlla,6910,13.1
2013,1,3,Sants-Montjuïc,15,Hostafrancs,11147,9.8
2013,1,3,Sants-Montjuïc,16,la Bordeta,12422,10.3
2013,1,3,Sants-Montjuïc,17,Sants - Badal,16518,8.6
2013,1,3,Sants-Montjuïc,18,Sants,27458,9.7
2013,1,4,Les Corts,19,les Corts,29600,9.3
2013,1,4,Les Corts,20,la Maternitat i Sant Ramon,15041,9.4
2013,1,4,Les Corts,21,Pedralbes,7105,4.8
2013,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2860,4.8
2013,1,5,Sarrià-Sant Gervasi,23,Sarrià,14800,4.9
2013,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,9747,5.4
2013,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,14962,5.9
2013,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28467,6.3
2013,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,19030,8.2
2013,1,6,Gràcia,28,Vallcarca i els Penitents,9777,10.1
2013,1,6,Gràcia,29,el Coll,4776,8.8
2013,1,6,Gràcia,30,la Salut,8400,9.9
2013,1,6,Gràcia,31,la Vila de Gràcia,34710,9.7
2013,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,22468,9.5
2013,1,7,Horta-Guinardó,33,el Baix Guinardó,16346,10
2013,1,7,Horta-Guinardó,34,Can Baró,5775,10.3
2013,1,7,Horta-Guinardó,35,el Guinardó,23015,11
2013,1,7,Horta-Guinardó,36,la Font d'en Fargues,5930,13.3
2013,1,7,Horta-Guinardó,37,el Carmel,20614,13
2013,1,7,Horta-Guinardó,38,la Teixonera,7421,10.6
2013,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,4140,11.3
2013,1,7,Horta-Guinardó,40,Montbau,2751,12.3
2013,1,7,Horta-Guinardó,41,la Vall d'Hebron,3391,10.6
2013,1,7,Horta-Guinardó,42,la Clota,257,9.7
2013,1,7,Horta-Guinardó,43,Horta,16577,13
2013,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,16139,12.3
2013,1,8,Nou Barris,45,Porta,15040,13.1
2013,1,8,Nou Barris,46,el Turó de la Peira,9229,13.2
2013,1,8,Nou Barris,47,Can Peguera,1385,12.4
2013,1,8,Nou Barris,48,la Guineueta,8902,16
2013,1,8,Nou Barris,49,Canyelles,4628,15
2013,1,8,Nou Barris,50,les Roquetes,10510,14.3
2013,1,8,Nou Barris,51,Verdun,7775,14.8
2013,1,8,Nou Barris,52,la Prosperitat,16145,13.7
2013,1,8,Nou Barris,53,la Trinitat Nova,4800,20
2013,1,8,Nou Barris,54,Torre Baró,1464,18
2013,1,8,Nou Barris,55,Ciutat Meridiana,6914,19.9
2013,1,8,Nou Barris,56,Vallbona,843,19
2013,1,9,Sant Andreu,57,la Trinitat Vella,7135,17.9
2013,1,9,Sant Andreu,58,Baró de Viver,1542,12.2
2013,1,9,Sant Andreu,59,el Bon Pastor,8176,13.1
2013,1,9,Sant Andreu,60,Sant Andreu,37227,11.6
2013,1,9,Sant Andreu,61,la Sagrera,19175,10.7
2013,1,9,Sant Andreu,62,el Congrés i els Indians,8725,11.5
2013,1,9,Sant Andreu,63,Navas,14009,11
