"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2017,1,1,"Ciutat Vella",1,"el Raval",35744,10
2017,1,1,"Ciutat Vella",2,"el Barri Gòtic",12570,"7.6"
2017,1,1,"Ciutat Vella",3,"la Barceloneta",10968,"9.7"
2017,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17293,"8.5"
2017,1,2,"Eixample",5,"el Fort Pienc",21326,"6.4"
2017,1,2,"Eixample",6,"la Sagrada Família",34357,"6.5"
2017,1,2,"Eixample",7,"la Dreta de l'Eixample",29162,5
2017,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",28435,"5.5"
2017,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38310,"6.2"
2017,1,2,"Eixample",10,"Sant Antoni",25525,"6.8"
2017,1,3,"Sants-Montjuïc",11,"el Poble Sec",28466,"8.8"
2017,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",780,"16.1"
2017,1,3,"Sants-Montjuïc",13,"la Marina de Port",20095,"9.2"
2017,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla",6928,"9.1"
2017,1,3,"Sants-Montjuïc",15,"Hostafrancs",10996,"7.6"
2017,1,3,"Sants-Montjuïc",16,"la Bordeta",12099,"7.4"
2017,1,3,"Sants-Montjuïc",17,"Sants - Badal",15888,"6.1"
2017,1,3,"Sants-Montjuïc",18,"Sants",27428,"6.7"
2017,1,4,"Les Corts",19,"les Corts",28485,"6.5"
2017,1,4,"Les Corts",20,"la Maternitat i Sant Ramon",14686,"6.5"
2017,1,4,"Les Corts",21,"Pedralbes",7084,"3.2"
2017,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",3082,3
2017,1,5,"Sarrià-Sant Gervasi",23,"Sarrià",15018,"3.3"
2017,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",10052,"3.6"
2017,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",15690,"3.9"
2017,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",29542,"3.9"
2017,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",18883,"5.6"
2017,1,6,"Gràcia",28,"Vallcarca i els Penitents",9744,"7.6"
2017,1,6,"Gràcia",29,"el Coll",4839,"6.4"
2017,1,6,"Gràcia",30,"la Salut",8170,"6.8"
2017,1,6,"Gràcia",31,"la Vila de Gràcia",34792,"6.3"
2017,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22017,"6.5"
2017,1,7,"Horta-Guinardó",33,"el Baix Guinardó",16435,"6.7"
2017,1,7,"Horta-Guinardó",34,"Can Baró",5811,"6.8"
2017,1,7,"Horta-Guinardó",35,"el Guinardó",23398,"7.7"
2017,1,7,"Horta-Guinardó",36,"la Font d'en Fargues",5723,"9.4"
2017,1,7,"Horta-Guinardó",37,"el Carmel",20018,"9.2"
2017,1,7,"Horta-Guinardó",38,"la Teixonera",7535,"7.4"
2017,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4202,"8.5"
2017,1,7,"Horta-Guinardó",40,"Montbau",2976,"8.2"
2017,1,7,"Horta-Guinardó",41,"la Vall d'Hebron",3534,"7.4"
2017,1,7,"Horta-Guinardó",42,"la Clota",431,"4.2"
2017,1,7,"Horta-Guinardó",43,"Horta",16402,"9.3"
2017,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",15960,"8.9"
2017,1,8,"Nou Barris",45,"Porta",15395,"9.1"
2017,1,8,"Nou Barris",46,"el Turó de la Peira",9773,"9.7"
2017,1,8,"Nou Barris",47,"Can Peguera",1403,"8.8"
2017,1,8,"Nou Barris",48,"la Guineueta",8839,"11.5"
2017,1,8,"Nou Barris",49,"Canyelles",4206,"11.8"
2017,1,8,"Nou Barris",50,"les Roquetes",10283,"10.4"
2017,1,8,"Nou Barris",51,"Verdun",7813,"10.5"
2017,1,8,"Nou Barris",52,"la Prosperitat",16070,"9.8"
2017,1,8,"Nou Barris",53,"la Trinitat Nova",4773,"14.3"
2017,1,8,"Nou Barris",54,"Torre Baró",1922,"9.8"
2017,1,8,"Nou Barris",55,"Ciutat Meridiana",6674,"14.7"
2017,1,8,"Nou Barris",56,"Vallbona",869,"13.1"
2017,1,9,"Sant Andreu",57,"la Trinitat Vella",6687,"13.6"
2017,1,9,"Sant Andreu",58,"Baró de Viver",1669,"7.9"
2017,1,9,"Sant Andreu",59,"el Bon Pastor",7975,"9.4"
2017,1,9,"Sant Andreu",60,"Sant Andreu",36467,"8.3"
2017,1,9,"Sant Andreu",61,"la Sagrera",18520,"7.5"
2017,1,9,"Sant Andreu",62,"el Congrés i els Indians",8949,"7.6"
2017,1,9,"Sant Andreu",63,"Navas",14054,"7.4"
2017,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",25027,"8.1"
2017,1,10,"Sant Martí",65,"el Clot",18138,"7.6"
2017,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",10394,"6.5"
2017,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",6551,"6.9"
2017,1,10,"Sant Martí",68,"el Poblenou",22610,"6.8"
2017,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8853,"8.5"
2017,1,10,"Sant Martí",70,"el Besòs i el Maresme",15224,"10.6"
2017,1,10,"Sant Martí",71,"Provençals del Poblenou",13873,"7.8"
2017,1,10,"Sant Martí",72,"Sant Martí de Provençals",16078,"9.4"
2017,1,10,"Sant Martí",73,"la Verneda i la Pau",17390,"9.8"
2017,2,1,"Ciutat Vella",1,"el Raval",35744,"9.9"
2017,2,1,"Ciutat Vella",2,"el Barri Gòtic",12570,"7.3"
2017,2,1,"Ciutat Vella",3,"la Barceloneta",10968,"9.5"
2017,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17293,"8.3"
2017,2,2,"Eixample",5,"el Fort Pienc",21326,"6.3"
