Any,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Poblacio_16_64_anys,Pes_atur
2015,1,1,Ciutat Vella,1,el Raval,34989,12.5
2015,1,1,Ciutat Vella,2,el Barri Gòtic,11868,10.1
2015,1,1,Ciutat Vella,3,la Barceloneta,10664,12
2015,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16736,10.6
2015,1,2,Eixample,5,el Fort Pienc,20875,8.2
2015,1,2,Eixample,6,la Sagrada Família,33914,8.3
2015,1,2,Eixample,7,la Dreta de l'Eixample,28600,6.3
2015,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,27609,7.5
2015,1,2,Eixample,9,la Nova Esquerra de l'Eixample,38012,8
2015,1,2,Eixample,10,Sant Antoni,25144,8.7
2015,1,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,28124,11.5
2015,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,755,19.4
2015,1,3,Sants-Montjuïc,13,la Marina de Port,19713,12
2015,1,3,Sants-Montjuïc,14,la Font de la Guatlla,6915,11.8
2015,1,3,Sants-Montjuïc,15,Hostafrancs,10957,9
2015,1,3,Sants-Montjuïc,16,la Bordeta,12073,9.5
2015,1,3,Sants-Montjuïc,17,Sants - Badal,16032,8
2015,1,3,Sants-Montjuïc,18,Sants,27046,8.8
2015,1,4,Les Corts,19,les Corts,28815,8.4
2015,1,4,Les Corts,20,la Maternitat i Sant Ramon,14851,8.5
2015,1,4,Les Corts,21,Pedralbes,6930,4
2015,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",2944,3.9
2015,1,5,Sarrià-Sant Gervasi,23,Sarrià,14738,4.1
2015,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,10025,4.4
2015,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,15451,5
2015,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28573,5
2015,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,18547,7.2
2015,1,6,Gràcia,28,Vallcarca i els Penitents,9694,8.9
2015,1,6,Gràcia,29,el Coll,4825,7.6
2015,1,6,Gràcia,30,la Salut,8320,8.7
2015,1,6,Gràcia,31,la Vila de Gràcia,34427,8
2015,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,21755,8.3
2015,1,7,Horta-Guinardó,33,el Baix Guinardó,16205,8.7
2015,1,7,Horta-Guinardó,34,Can Baró,5617,9.2
2015,1,7,Horta-Guinardó,35,el Guinardó,22860,9.7
2015,1,7,Horta-Guinardó,36,la Font d'en Fargues,5765,11.9
2015,1,7,Horta-Guinardó,37,el Carmel,19909,11.8
2015,1,7,Horta-Guinardó,38,la Teixonera,7365,9.4
2015,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,3998,10.4
2015,1,7,Horta-Guinardó,40,Montbau,2812,10.7
